sampleid	biosample	bioproject	reads	primer_group	genus	species	old_new_world	pathogen	common_name	diet_org	diet_assumed	diet_1	diet_2	diet_group	diet_cat	sex	reprod_stage	total_sample_no	sample_type	collection_year	captive_wild	habitat_assumed	habitat_group	habitat_level_1	habitat_level_2	roost_group	sociality_x	foraging	collection_location	country	continent	virus	body_mass_g	litter_size	litters_peryear	longevity_month	sociality_y	torpor_use
SAMEA9989245	SAMEA9989245_ERR7141748	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989244	SAMEA9989244_ERR7141747	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989243	SAMEA9989243_ERR7141746	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989242	SAMEA9989242_ERR7141745	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989241	SAMEA9989241_ERR7141744	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989240	SAMEA9989240_ERR7141743	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_vivesi	new_world	Lyssaviruses	Fish_eating_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_beach	Rock_crevices	Colonial	trawling	NA	NA	NA	Lyssaviruses	25.63	0.99	NA	120	Colonial	Diurnal_Seasonal
SAMEA9989239	SAMEA9989239_ERR7141742	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	old_world	Betacoronaviruses	Greater_hourseshoe_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989238	SAMEA9989238_ERR7142022	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	old_world	Betacoronaviruses	Greater_hourseshoe_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989237	SAMEA9989237_ERR7142021	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	old_world	Betacoronaviruses	Greater_hourseshoe_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989236	SAMEA9989236_ERR7142020	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989235	SAMEA9989235_ERR7141741	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989234	SAMEA9989234_ERR7141740	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989233	SAMEA9989233_ERR7141739	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989232	SAMEA9989232_ERR7141738	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989231	SAMEA9989231_ERR7141737	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989230	SAMEA9989230_ERR7141736	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989229	SAMEA9989229_ERR7141735	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989228	SAMEA9989228_ERR7141734	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989227	SAMEA9989227_ERR7141733	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989226	SAMEA9989226_ERR7141732	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989225	SAMEA9989225_ERR7141731	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989224	SAMEA9989224_ERR7141730	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989223	SAMEA9989223_ERR7141755	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989222	SAMEA9989222_ERR7141754	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989221	SAMEA9989221_ERR7141753	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989220	SAMEA9989220_ERR7141752	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989219	SAMEA9989219_ERR7141750	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9989216	SAMEA9989216_ERR7142011	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	old_world	Alphacoronaviruses	Daubenton's_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989215	SAMEA9989215_ERR7141724	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	old_world	Alphacoronaviruses	Daubenton's_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989214	SAMEA9989214_ERR7141723	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	old_world	Alphacoronaviruses	Daubenton's_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989213	SAMEA9989213_ERR7141722	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	old_world	Alphacoronaviruses	Daubenton's_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9989212	SAMEA9989212_ERR7141721	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989211	SAMEA9989211_ERR7141706	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989210	SAMEA9989210_ERR7141705	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989209	SAMEA9989209_ERR7141704	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989208	SAMEA9989208_ERR7141703	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989207	SAMEA9989207_ERR7142009	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989206	SAMEA9989206_ERR7142008	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989205	SAMEA9989205_ERR7142007	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989204	SAMEA9989204_ERR7142006	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9988538	SAMEA9988538_ERR7142019	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	old_world	Betacoronaviruses	Greater_hourseshoe_bat	Piscivorous	Carnivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9988537	SAMEA9988537_ERR7141729	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	old_world	Alphacoronaviruses_Betacoronaviruses	Rickett's_big-footed_Myotis	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9988536	SAMEA9988536_ERR7141751	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	new_world	Lyssaviruses	Greater_bulldog_bat	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9988534	SAMEA9988534_ERR7141720	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	old_world	Alphacoronaviruses	Daubenton's_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9988533	SAMEA9988533_ERR7142004	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	old_world	Alphacoronaviruses_Filoviruses	Common_bet-wing_bat	Insectivorous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9988528	SAMEA9988528_ERR7141719	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988527	SAMEA9988527_ERR7141718	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988526	SAMEA9988526_ERR7141717	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988525	SAMEA9988525_ERR7141716	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988524	SAMEA9988524_ERR7141715	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988523	SAMEA9988523_ERR7141714	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988522	SAMEA9988522_ERR7141713	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988521	SAMEA9988521_ERR7141712	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988520	SAMEA9988520_ERR7141711	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988519	SAMEA9988519_ERR7141710	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988518	SAMEA9988518_ERR7141709	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
SAMEA9988517	SAMEA9988517_ERR7141708	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_capaccinii	old_world	Lyssaviruses	Long-fingered_bat	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Lyssaviruses	8.15	0.99	NA	NA	Colonial	Seasonal
