sampleid	biosample	bioproject	reads	primer_group	genus	species	common_name	old_new_world	pathogen	diet_org	diet_assumed	diet_1	diet_2	diet_group	diet_cat	sex	reprod_stage	total_sample_no	sample_type	collection_year	captive_wild	habitat_assumed	habitat_group	habitat_level_1	habitat_level_2	roost_group	sociality_x	foraging	collection_location	country	continent	virus	body_mass_g	litter_size	litters_peryear	longevity_month	sociality_y	torpor_use
SAMEA9989233	SAMEA9989233_ERR7141739	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989232	SAMEA9989232_ERR7141738	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989231	SAMEA9989231_ERR7141737	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989230	SAMEA9989230_ERR7141736	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989229	SAMEA9989229_ERR7141735	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989228	SAMEA9989228_ERR7141734	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989227	SAMEA9989227_ERR7141733	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989226	SAMEA9989226_ERR7141732	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989225	SAMEA9989225_ERR7141731	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9989224	SAMEA9989224_ERR7141730	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
