"","Antillean_fruit-eating_bat","Big-eared_horseshoe_bat","Buffy_flower_bat","Chinese_water_myotis","Common_bet-wing_bat","Common_noctune","Florida_bonneted_bat","Greater_musky_fruit_bat","Intermediate_horseshoe_bat","Jamaican_fruit_bat","Least_horseshoe_bat","Lesser_long-nosed_bat","Long-fingered_bat","Osgood's_horseshoe_bat","Parti-coloured_bat","Rickett's_big-footed_Myotis","Seba's_short-tailed_bat","Vampire_bat","Brazilian_free-tailed_bat","Greater_bulldog_bat"
"Enterobacteriaceae",742401,8422,660452,51645,1392,18591,15883,1340,15932,631418,4619,589204,31797,21574,3618,1742,222301,352381,0,0
"Enterococcaceae",0,348920,0,0,0,484021,183841,0,0,0,8856,167086,37867,80130,309184,79016,209618,0,62352,28617
"Helicobacteraceae",75906,14994,1074664,8127,5807,3158,324567,842440,6229,4600,5397,6602,36896,5292,135939,3613,3272,3540,2700,119622
"Moraxellaceae",12265,21007,10306,3289,628,5071,11112,66663,2590,11629,9286,12199,9691,10351,5797,453,100956,2681,1918,858
"Pasteurellaceae",0,722,1144,0,0,0,0,0,14869,2479901,26883,0,0,0,0,1144,0,0,0,0
"Staphylococcaceae",16381,8505,10536,0,75,3100,275675,0,0,5547,11302,128393,24485,6362,1618,49,1022,386409,200983,1635
"Streptococcaceae",132345,651901,43936,39088,891,644227,336399,9147,60598,218752,3000,503565,113082,323453,471841,1901,86216,35527,250305,83584
